Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
132,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Heaven_Beside_You.txt"")",1.8906059265136719,1389,coref,1
133,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Over_Now.txt"")",1.3437702655792236,939,coref,1
134,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Rotten_Apple.txt"")",1.2664434909820557,923,coref,1
135,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Stay.txt"")",0.6245949268341064,444,coref,1
136,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Them_Bones.txt"")",0.746605396270752,503,coref,1
137,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Your_Decision.txt"")",1.7604312896728516,855,coref,1
138,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_Down_To_The_River_To_Pray.txt"")",2.459486722946167,1478,coref,1
139,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_Everybody_Wants_To_Go_To_Heaven.txt"")",1.82448148727417,1131,coref,1
140,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_Faraway_Land.txt"")",1.6693205833435059,996,coref,1
141,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_Gentle_River.txt"")",0.5937511920928955,484,coref,1
142,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_Here_Comes_Goodbye.txt"")",1.7187561988830566,1175,coref,1
143,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_I_Dont_Have_To_Live_This_Way.txt"")",1.3281102180480957,845,coref,1
144,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_I_Give_You_To_His_Heart.txt"")",1.568699836730957,792,coref,1
145,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_Jubilee.txt"")",1.046882152557373,729,coref,1
146,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_Remind_Me,_Dear_Lord.txt"")",1.5312461853027344,854,coref,1
147,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alison_Krauss_Restless.txt"")",2.703155994415283,1291,coref,1
